Code,Depto,Municipio,Censo Electoral,Participación/Total votación,Abstención,Ganador Circunscripción Nacional,Votos Válidos (Nacional),Alianza Verde,Cambio Radical,Centro Democrático,Partido Conservador,FARC,Partido Liberal,Opción Ciudadana,MIRA,Polo Democrático Alternativo,Partido de la U,Somos,Todos Somos Colombia,Coalición Lista de la Decencia (ASI-UP-MAIS),GSC Colombia Justa Libres,GSC Si se puede,GSC Unión con Fortaleza,Voto en Blanco (Nacional),Ganador Circunscripción Indígena,Votos Válidos Indígenas,Autoridad Tradicional Casiyouren,MAIS,AICO,Movimiento Indígena Ambiental - MIA,Movimiento Político Soberanía,ASI,Renovación Étnica de Colombia,Voto en Blanco (Indígena),Vótos Válidos (todas las circunscripciones),Votos Inválidos,Votos Nulos,Tarjetones no Marcados,%Participación,%Abstención,%Votos Válidos (Nacional),%Alianza Verde,%Cambio Radical,%Centro Democrático,%Partido Conservador,%FARC,%Partido Liberal,%Opción Ciudadana,%MIRA,%Polo Democrático Alternativo,%Partido de la U,%Somos,%Todos Somos Colombia,%Coalición Lista de la Decencia (ASI-UP-MAIS),%GSC Colombia Justa Libres,%GSC Si se puede,%GSC Unión con Fortaleza,%Voto en Blanco (Nacional),%Válidos Indígenas,%Autoridad Tradicional Casiyouren,%MAIS,%AICO,%Movimiento Indígena Ambiental - MIA,%Movimiento Político Soberanía,%ASI,%Renovación Étnica de Colombia,%Voto en Blanco (Indígena),%Vótos Válidos (todas las circunscripciones),%Votos Inválidos,%Votos Nulos,%Tarjetones no Marcados
17433,Caldas,Manzanares,15619,7394,8225,Partido de la U,6391,111,458,1800,852,1,410,79,164,68,2195,9,15,13,36,2,7,171,Voto en Blanco ,54,0,0,0,0,0,1,1,52,6445,949,418,531,47.3%,52.7%,86.4%,1.7%,7.2%,28.2%,13.3%,0.0%,6.4%,1.2%,2.6%,1.1%,34.3%,0.1%,0.2%,0.2%,0.6%,0.0%,0.1%,2.7%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,1.9%,96.3%,87.2%,12.8%,5.7%,7.2%
17442,Caldas,Marmato,6918,2400,4518,Partido Liberal,1884,34,114,180,89,28,502,22,28,290,466,6,8,10,29,1,2,75,MAIS,112,0,64,0,0,0,0,1,47,1996,404,173,231,34.7%,65.3%,78.5%,1.8%,6.1%,9.6%,4.7%,1.5%,26.6%,1.2%,1.5%,15.4%,24.7%,0.3%,0.4%,0.5%,1.5%,0.1%,0.1%,4.0%,4.7%,0.0%,57.1%,0.0%,0.0%,0.0%,0.0%,0.9%,42.0%,83.2%,16.8%,7.2%,9.6%
17444,Caldas,Marquetalia,11634,5471,6163,Centro Democrático,4515,59,255,1945,565,0,179,36,37,48,1190,4,14,11,44,0,7,121,Voto en Blanco ,40,0,1,0,0,0,0,1,38,4555,916,351,565,47.0%,53.0%,82.5%,1.3%,5.6%,43.1%,12.5%,0.0%,4.0%,0.8%,0.8%,1.1%,26.4%,0.1%,0.3%,0.2%,1.0%,0.0%,0.2%,2.7%,0.7%,0.0%,2.5%,0.0%,0.0%,0.0%,0.0%,2.5%,95.0%,83.3%,16.7%,6.4%,10.3%
17446,Caldas,Marulanda,2595,1273,1322,Partido Liberal,1097,10,25,189,63,1,412,11,7,7,323,0,2,0,9,0,0,38,Voto en Blanco ,4,0,0,0,0,0,0,0,4,1101,172,50,122,49.1%,50.9%,86.2%,0.9%,2.3%,17.2%,5.7%,0.1%,37.6%,1.0%,0.6%,0.6%,29.4%,0.0%,0.2%,0.0%,0.8%,0.0%,0.0%,3.5%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,86.5%,13.5%,3.9%,9.6%
17486,Caldas,Neira,19505,9274,10231,Partido de la U,7705,308,355,1052,885,5,1530,199,247,274,2273,47,19,26,63,5,22,395,Voto en Blanco ,145,0,7,0,1,0,2,3,132,7850,1424,699,725,47.5%,52.5%,83.1%,4.0%,4.6%,13.7%,11.5%,0.1%,19.9%,2.6%,3.2%,3.6%,29.5%,0.6%,0.2%,0.3%,0.8%,0.1%,0.3%,5.1%,1.6%,0.0%,4.8%,0.0%,0.7%,0.0%,1.4%,2.1%,91.0%,84.6%,15.4%,7.5%,7.8%
17495,Caldas,Norcasia,5928,2810,3118,Partido Liberal,2375,19,116,102,119,2,1148,56,136,19,406,12,5,13,136,1,2,83,Voto en Blanco ,28,0,0,1,0,0,1,0,26,2403,407,176,231,47.4%,52.6%,84.5%,0.8%,4.9%,4.3%,5.0%,0.1%,48.3%,2.4%,5.7%,0.8%,17.1%,0.5%,0.2%,0.5%,5.7%,0.0%,0.1%,3.5%,1.0%,0.0%,0.0%,3.6%,0.0%,0.0%,3.6%,0.0%,92.9%,85.5%,14.5%,6.3%,8.2%
17513,Caldas,Pácora,12081,6652,5429,Partido Liberal,5721,92,217,331,184,1,3424,64,283,68,814,69,17,8,26,1,6,116,Voto en Blanco ,42,0,1,0,0,0,0,1,40,5763,889,325,564,55.1%,44.9%,86.0%,1.6%,3.8%,5.8%,3.2%,0.0%,59.8%,1.1%,4.9%,1.2%,14.2%,1.2%,0.3%,0.1%,0.5%,0.0%,0.1%,2.0%,0.6%,0.0%,2.4%,0.0%,0.0%,0.0%,0.0%,2.4%,95.2%,86.6%,13.4%,4.9%,8.5%
17524,Caldas,Palestina,15069,7162,7907,Partido de la U,6100,112,161,668,280,6,1947,65,257,111,2095,27,15,24,107,3,14,208,Voto en Blanco ,80,2,0,2,0,0,0,0,76,6180,982,406,576,47.5%,52.5%,85.2%,1.8%,2.6%,11.0%,4.6%,0.1%,31.9%,1.1%,4.2%,1.8%,34.3%,0.4%,0.2%,0.4%,1.8%,0.0%,0.2%,3.4%,1.1%,2.5%,0.0%,2.5%,0.0%,0.0%,0.0%,0.0%,95.0%,86.3%,13.7%,5.7%,8.0%
17541,Caldas,Pensilvania,16752,8479,8273,Centro Democrático,6856,114,242,3195,950,4,310,82,28,114,1423,49,36,27,21,1,2,258,Voto en Blanco ,98,0,3,1,1,1,5,0,87,6954,1525,598,927,50.6%,49.4%,80.9%,1.7%,3.5%,46.6%,13.9%,0.1%,4.5%,1.2%,0.4%,1.7%,20.8%,0.7%,0.5%,0.4%,0.3%,0.0%,0.0%,3.8%,1.2%,0.0%,3.1%,1.0%,1.0%,1.0%,5.1%,0.0%,88.8%,82.0%,18.0%,7.1%,10.9%
17614,Caldas,Riosucio,38656,20641,18015,Centro Democrático,11434,789,326,3249,1059,161,2118,88,300,283,1741,44,31,398,126,3,73,645,MAIS,6218,1,5744,55,1,10,45,7,355,17652,2989,1376,1613,53.4%,46.6%,55.4%,6.9%,2.9%,28.4%,9.3%,1.4%,18.5%,0.8%,2.6%,2.5%,15.2%,0.4%,0.3%,3.5%,1.1%,0.0%,0.6%,5.6%,30.1%,0.0%,92.4%,0.9%,0.0%,0.2%,0.7%,0.1%,5.7%,85.5%,14.5%,6.7%,7.8%
17616,Caldas,Risaralda,10621,4659,5962,Partido Liberal,3973,44,163,595,367,1,1089,28,524,107,795,16,11,23,57,0,4,149,Voto en Blanco ,62,0,2,0,0,0,2,0,58,4035,624,244,380,43.9%,56.1%,85.3%,1.1%,4.1%,15.0%,9.2%,0.0%,27.4%,0.7%,13.2%,2.7%,20.0%,0.4%,0.3%,0.6%,1.4%,0.0%,0.1%,3.8%,1.3%,0.0%,3.2%,0.0%,0.0%,0.0%,3.2%,0.0%,93.5%,86.6%,13.4%,5.2%,8.2%
17653,Caldas,Salamina,15510,7519,7991,Partido Liberal,6367,147,914,958,689,5,1888,169,142,155,933,19,17,32,40,4,4,251,Voto en Blanco ,113,0,1,0,1,0,0,1,110,6480,1039,438,601,48.5%,51.5%,84.7%,2.3%,14.4%,15.0%,10.8%,0.1%,29.7%,2.7%,2.2%,2.4%,14.7%,0.3%,0.3%,0.5%,0.6%,0.1%,0.1%,3.9%,1.5%,0.0%,0.9%,0.0%,0.9%,0.0%,0.0%,0.9%,97.3%,86.2%,13.8%,5.8%,8.0%
17662,Caldas,Samaná,16379,8679,7700,Partido de la U,7341,138,130,944,487,9,921,41,32,62,4257,5,13,23,107,7,8,157,Voto en Blanco ,58,0,0,1,0,0,1,0,56,7399,1280,370,910,53.0%,47.0%,84.6%,1.9%,1.8%,12.9%,6.6%,0.1%,12.5%,0.6%,0.4%,0.8%,58.0%,0.1%,0.2%,0.3%,1.5%,0.1%,0.1%,2.1%,0.7%,0.0%,0.0%,1.7%,0.0%,0.0%,1.7%,0.0%,96.6%,85.3%,14.7%,4.3%,10.5%
17665,Caldas,San José,4897,2653,2244,Partido Conservador,2341,23,143,169,784,1,443,29,49,13,481,4,4,68,55,1,4,70,Voto en Blanco ,47,0,13,0,0,0,0,0,34,2388,265,124,141,54.2%,45.8%,88.2%,1.0%,6.1%,7.2%,33.5%,0.0%,18.9%,1.2%,2.1%,0.6%,20.5%,0.2%,0.2%,2.9%,2.3%,0.0%,0.2%,3.0%,1.8%,0.0%,27.7%,0.0%,0.0%,0.0%,0.0%,0.0%,72.3%,90.0%,10.0%,4.7%,5.3%
17777,Caldas,Supía,21776,10801,10975,Partido Liberal,7744,145,480,1760,554,56,2434,79,254,273,966,26,22,188,81,7,46,373,MAIS,673,0,474,11,3,3,5,2,175,8417,2384,1330,1054,49.6%,50.4%,71.7%,1.9%,6.2%,22.7%,7.2%,0.7%,31.4%,1.0%,3.3%,3.5%,12.5%,0.3%,0.3%,2.4%,1.0%,0.1%,0.6%,4.8%,6.2%,0.0%,70.4%,1.6%,0.4%,0.4%,0.7%,0.3%,26.0%,77.9%,22.1%,12.3%,9.8%
17867,Caldas,Victoria,8334,4106,4228,Partido de la U,3549,42,134,582,80,1,966,19,33,66,1453,2,5,21,35,1,2,107,Voto en Blanco ,43,0,0,0,0,0,0,0,43,3592,514,239,275,49.3%,50.7%,86.4%,1.2%,3.8%,16.4%,2.3%,0.0%,27.2%,0.5%,0.9%,1.9%,40.9%,0.1%,0.1%,0.6%,1.0%,0.0%,0.1%,3.0%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,87.5%,12.5%,5.8%,6.7%
17873,Caldas,Villamaría,39484,22613,16871,Partido Liberal,19139,1020,1224,2466,1175,33,4438,404,1448,963,3649,241,91,207,263,6,53,1458,Voto en Blanco ,543,1,13,3,2,2,14,6,502,19682,2931,1781,1150,57.3%,42.7%,84.6%,5.3%,6.4%,12.9%,6.1%,0.2%,23.2%,2.1%,7.6%,5.0%,19.1%,1.3%,0.5%,1.1%,1.4%,0.0%,0.3%,7.6%,2.4%,0.2%,2.4%,0.6%,0.4%,0.4%,2.6%,1.1%,92.4%,87.0%,13.0%,7.9%,5.1%
17877,Caldas,Viterbo,13009,6345,6664,Partido Conservador,5545,103,155,1082,1640,13,353,284,296,93,991,6,6,118,168,7,7,223,Voto en Blanco ,85,0,12,1,0,0,4,0,68,5630,715,401,314,48.8%,51.2%,87.4%,1.9%,2.8%,19.5%,29.6%,0.2%,6.4%,5.1%,5.3%,1.7%,17.9%,0.1%,0.1%,2.1%,3.0%,0.1%,0.1%,4.0%,1.3%,0.0%,14.1%,1.2%,0.0%,0.0%,4.7%,0.0%,80.0%,88.7%,11.3%,6.3%,4.9%
18001,Caquetá,Florencia,119792,56419,63373,Centro Democrático,48266,2029,3831,10770,6699,543,5909,3697,3698,2263,2418,722,128,1234,1108,40,175,3002,Voto en Blanco ,1621,3,39,14,3,93,368,12,1089,49887,6532,3734,2798,47.1%,52.9%,85.5%,4.2%,7.9%,22.3%,13.9%,1.1%,12.2%,7.7%,7.7%,4.7%,5.0%,1.5%,0.3%,2.6%,2.3%,0.1%,0.4%,6.2%,2.9%,0.2%,2.4%,0.9%,0.2%,5.7%,22.7%,0.7%,67.2%,88.4%,11.6%,6.6%,5.0%
18029,Caquetá,Albania,3988,2063,1925,Partido Conservador,1855,65,96,212,597,1,392,18,218,38,100,25,8,20,15,2,6,42,ASI,31,0,0,1,0,0,16,0,14,1886,177,69,108,51.7%,48.3%,89.9%,3.5%,5.2%,11.4%,32.2%,0.1%,21.1%,1.0%,11.8%,2.0%,5.4%,1.3%,0.4%,1.1%,0.8%,0.1%,0.3%,2.3%,1.5%,0.0%,0.0%,3.2%,0.0%,0.0%,51.6%,0.0%,45.2%,91.4%,8.6%,3.3%,5.2%
18094,Caquetá,Belén de Los Andaquíes,7686,3415,4271,Centro Democrático,2726,273,188,760,411,12,466,83,162,102,101,17,5,24,15,1,16,90,ASI,84,0,1,4,0,0,45,1,33,2810,605,189,416,44.4%,55.6%,79.8%,10.0%,6.9%,27.9%,15.1%,0.4%,17.1%,3.0%,5.9%,3.7%,3.7%,0.6%,0.2%,0.9%,0.6%,0.0%,0.6%,3.3%,2.5%,0.0%,1.2%,4.8%,0.0%,0.0%,53.6%,1.2%,39.3%,82.3%,17.7%,5.5%,12.2%
18150,Caquetá,Cartagena del Chairá,19106,4624,14482,Partido Liberal,3522,126,142,329,569,160,709,123,471,290,133,70,23,109,68,4,9,187,Voto en Blanco ,161,3,3,2,0,3,56,2,92,3683,941,352,589,24.2%,75.8%,76.2%,3.6%,4.0%,9.3%,16.2%,4.5%,20.1%,3.5%,13.4%,8.2%,3.8%,2.0%,0.7%,3.1%,1.9%,0.1%,0.3%,5.3%,3.5%,1.9%,1.9%,1.2%,0.0%,1.9%,34.8%,1.2%,57.1%,79.6%,20.4%,7.6%,12.7%
18205,Caquetá,Curillo,7626,2413,5213,Partido Liberal,2060,74,161,333,402,34,437,47,373,20,75,19,5,10,18,1,1,50,ASI,40,3,1,1,0,0,19,0,16,2100,313,113,200,31.6%,68.4%,85.4%,3.6%,7.8%,16.2%,19.5%,1.7%,21.2%,2.3%,18.1%,1.0%,3.6%,0.9%,0.2%,0.5%,0.9%,0.0%,0.0%,2.4%,1.7%,7.5%,2.5%,2.5%,0.0%,0.0%,47.5%,0.0%,40.0%,87.0%,13.0%,4.7%,8.3%
18247,Caquetá,El Doncello,15714,5895,9819,Partido Liberal,4872,172,607,854,278,68,1107,103,510,132,492,62,17,54,148,3,10,255,Voto en Blanco ,164,1,0,1,0,23,45,1,93,5036,859,358,501,37.5%,62.5%,82.6%,3.5%,12.5%,17.5%,5.7%,1.4%,22.7%,2.1%,10.5%,2.7%,10.1%,1.3%,0.3%,1.1%,3.0%,0.1%,0.2%,5.2%,2.8%,0.6%,0.0%,0.6%,0.0%,14.0%,27.4%,0.6%,56.7%,85.4%,14.6%,6.1%,8.5%
18256,Caquetá,El Paujil,12004,3993,8011,Partido Liberal,3330,132,257,421,318,62,902,75,711,65,131,19,7,60,43,3,3,121,Voto en Blanco ,94,2,0,0,0,13,31,0,48,3424,569,186,383,33.3%,66.7%,83.4%,4.0%,7.7%,12.6%,9.5%,1.9%,27.1%,2.3%,21.4%,2.0%,3.9%,0.6%,0.2%,1.8%,1.3%,0.1%,0.1%,3.6%,2.4%,2.1%,0.0%,0.0%,0.0%,13.8%,33.0%,0.0%,51.1%,85.8%,14.2%,4.7%,9.6%
18410,Caquetá,La Montañita,11184,4224,6960,Partido Conservador,3523,134,133,224,1393,190,271,59,231,384,139,62,8,199,24,3,3,66,ASI,115,2,1,0,0,3,78,0,31,3638,586,280,306,37.8%,62.2%,83.4%,3.8%,3.8%,6.4%,39.5%,5.4%,7.7%,1.7%,6.6%,10.9%,3.9%,1.8%,0.2%,5.6%,0.7%,0.1%,0.1%,1.9%,2.7%,1.7%,0.9%,0.0%,0.0%,2.6%,67.8%,0.0%,27.0%,86.1%,13.9%,6.6%,7.2%
18460,Caquetá,Milán,6798,2508,4290,Partido Liberal,2074,73,109,199,510,9,874,33,53,14,52,18,7,15,80,0,0,28,MAIS,131,0,86,1,0,19,15,0,10,2205,303,128,175,36.9%,63.1%,82.7%,3.5%,5.3%,9.6%,24.6%,0.4%,42.1%,1.6%,2.6%,0.7%,2.5%,0.9%,0.3%,0.7%,3.9%,0.0%,0.0%,1.4%,5.2%,0.0%,65.6%,0.8%,0.0%,14.5%,11.5%,0.0%,7.6%,87.9%,12.1%,5.1%,7.0%
18479,Caquetá,Morelia,3735,1750,1985,Partido Liberal,1515,56,84,312,247,5,403,29,214,19,67,9,2,11,14,0,4,39,Voto en Blanco ,18,0,0,0,0,0,1,0,17,1533,217,87,130,46.9%,53.1%,86.6%,3.7%,5.5%,20.6%,16.3%,0.3%,26.6%,1.9%,14.1%,1.3%,4.4%,0.6%,0.1%,0.7%,0.9%,0.0%,0.3%,2.6%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.6%,0.0%,94.4%,87.6%,12.4%,5.0%,7.4%
18592,Caquetá,Puerto Rico,19237,6771,12466,Partido Liberal,5436,172,209,940,327,244,1915,73,537,90,380,53,18,42,193,6,10,227,Voto en Blanco ,247,1,30,3,0,6,70,0,137,5683,1088,438,650,35.2%,64.8%,80.3%,3.2%,3.8%,17.3%,6.0%,4.5%,35.2%,1.3%,9.9%,1.7%,7.0%,1.0%,0.3%,0.8%,3.6%,0.1%,0.2%,4.2%,3.6%,0.4%,12.1%,1.2%,0.0%,2.4%,28.3%,0.0%,55.5%,83.9%,16.1%,6.5%,9.6%
18610,Caquetá,San José del Fragua,9168,3910,5258,MIRA,3382,202,173,372,597,31,646,36,694,130,126,31,4,79,64,1,95,101,Voto en Blanco ,74,0,0,0,0,2,21,1,50,3456,454,173,281,42.6%,57.4%,86.5%,6.0%,5.1%,11.0%,17.7%,0.9%,19.1%,1.1%,20.5%,3.8%,3.7%,0.9%,0.1%,2.3%,1.9%,0.0%,2.8%,3.0%,1.9%,0.0%,0.0%,0.0%,0.0%,2.7%,28.4%,1.4%,67.6%,88.4%,11.6%,4.4%,7.2%
18753,Caquetá,San Vicente del Caguán,32844,9762,23082,Partido Liberal,8120,192,366,1439,814,340,1642,137,864,1147,258,83,18,50,393,11,11,355,Voto en Blanco ,240,1,16,0,0,17,46,4,156,8360,1402,571,831,29.7%,70.3%,83.2%,2.4%,4.5%,17.7%,10.0%,4.2%,20.2%,1.7%,10.6%,14.1%,3.2%,1.0%,0.2%,0.6%,4.8%,0.1%,0.1%,4.4%,2.5%,0.4%,6.7%,0.0%,0.0%,7.1%,19.2%,1.7%,65.0%,85.6%,14.4%,5.8%,8.5%
18756,Caquetá,Solano,7835,2011,5824,Partido Liberal,1500,163,128,139,97,48,256,201,192,24,188,5,1,9,9,1,0,39,ASI,122,0,48,1,0,10,53,0,10,1622,389,99,290,25.7%,74.3%,74.6%,10.9%,8.5%,9.3%,6.5%,3.2%,17.1%,13.4%,12.8%,1.6%,12.5%,0.3%,0.1%,0.6%,0.6%,0.1%,0.0%,2.6%,6.1%,0.0%,39.3%,0.8%,0.0%,8.2%,43.4%,0.0%,8.2%,80.7%,19.3%,4.9%,14.4%
18785,Caquetá,Solita,5708,1817,3891,Partido de la U,1479,115,59,74,251,4,269,93,169,8,312,42,1,20,9,1,0,52,ASI,31,0,1,0,0,1,15,1,13,1510,307,137,170,31.8%,68.2%,81.4%,7.8%,4.0%,5.0%,17.0%,0.3%,18.2%,6.3%,11.4%,0.5%,21.1%,2.8%,0.1%,1.4%,0.6%,0.1%,0.0%,3.5%,1.7%,0.0%,3.2%,0.0%,0.0%,3.2%,48.4%,3.2%,41.9%,83.1%,16.9%,7.5%,9.4%
18860,Caquetá,Valparaíso,6209,2579,3630,Partido Liberal,2282,64,394,276,360,9,524,85,252,42,150,2,7,20,29,0,1,67,Voto en Blanco ,49,0,0,0,0,1,18,0,30,2331,248,109,139,41.5%,58.5%,88.5%,2.8%,17.3%,12.1%,15.8%,0.4%,23.0%,3.7%,11.0%,1.8%,6.6%,0.1%,0.3%,0.9%,1.3%,0.0%,0.0%,2.9%,1.9%,0.0%,0.0%,0.0%,0.0%,2.0%,36.7%,0.0%,61.2%,90.4%,9.6%,4.2%,5.4%
19001,Cauca,Popayán,233647,115537,118110,Partido Liberal,94746,7924,13987,11216,4677,574,15168,815,9454,5800,5926,1247,366,5191,2738,95,171,9397,Voto en Blanco ,5602,14,650,88,9,1164,355,34,3288,100348,15189,9828,5361,49.4%,50.6%,82.0%,8.4%,14.8%,11.8%,4.9%,0.6%,16.0%,0.9%,10.0%,6.1%,6.3%,1.3%,0.4%,5.5%,2.9%,0.1%,0.2%,9.9%,4.8%,0.2%,11.6%,1.6%,0.2%,20.8%,6.3%,0.6%,58.7%,86.9%,13.1%,8.5%,4.6%
19022,Cauca,Almaguer,12619,5099,7520,Cambio Radical,3952,27,2682,34,65,2,894,27,14,75,22,0,18,15,22,3,3,49,MAIS,142,3,79,3,0,9,21,3,24,4094,1005,392,613,40.4%,59.6%,77.5%,0.7%,67.9%,0.9%,1.6%,0.1%,22.6%,0.7%,0.4%,1.9%,0.6%,0.0%,0.5%,0.4%,0.6%,0.1%,0.1%,1.2%,2.8%,2.1%,55.6%,2.1%,0.0%,6.3%,14.8%,2.1%,16.9%,80.3%,19.7%,7.7%,12.0%
19050,Cauca,Argelia,18003,6480,11523,Cambio Radical,5198,73,1448,62,217,783,1268,31,57,528,158,42,20,197,137,21,2,154,ASI,160,2,10,1,0,9,73,2,63,5358,1122,351,771,36.0%,64.0%,80.2%,1.4%,27.9%,1.2%,4.2%,15.1%,24.4%,0.6%,1.1%,10.2%,3.0%,0.8%,0.4%,3.8%,2.6%,0.4%,0.0%,3.0%,2.5%,1.3%,6.3%,0.6%,0.0%,5.6%,45.6%,1.3%,39.4%,82.7%,17.3%,5.4%,11.9%
19075,Cauca,Balboa,15885,6666,9219,Cambio Radical,5211,96,1725,95,555,196,1206,70,164,135,526,28,15,163,92,1,5,139,Voto en Blanco ,161,1,18,1,0,15,54,0,72,5372,1294,363,931,42.0%,58.0%,78.2%,1.8%,33.1%,1.8%,10.7%,3.8%,23.1%,1.3%,3.1%,2.6%,10.1%,0.5%,0.3%,3.1%,1.8%,0.0%,0.1%,2.7%,2.4%,0.6%,11.2%,0.6%,0.0%,9.3%,33.5%,0.0%,44.7%,80.6%,19.4%,5.4%,14.0%
19100,Cauca,Bolívar,31283,13159,18124,Cambio Radical,11068,146,5353,403,545,16,3244,25,44,430,333,33,18,114,124,2,3,235,Movimiento Político Soberanía,329,1,65,2,1,126,14,2,118,11397,1762,749,1013,42.1%,57.9%,84.1%,1.3%,48.4%,3.6%,4.9%,0.1%,29.3%,0.2%,0.4%,3.9%,3.0%,0.3%,0.2%,1.0%,1.1%,0.0%,0.0%,2.1%,2.5%,0.3%,19.8%,0.6%,0.3%,38.3%,4.3%,0.6%,35.9%,86.6%,13.4%,5.7%,7.7%
19110,Cauca,Buenos Aires,16215,6953,9262,Cambio Radical,5264,382,2514,183,85,155,457,292,26,52,675,37,23,61,171,5,5,141,MAIS,264,0,129,10,0,4,12,3,106,5528,1425,651,774,42.9%,57.1%,75.7%,7.3%,47.8%,3.5%,1.6%,2.9%,8.7%,5.5%,0.5%,1.0%,12.8%,0.7%,0.4%,1.2%,3.2%,0.1%,0.1%,2.7%,3.8%,0.0%,48.9%,3.8%,0.0%,1.5%,4.5%,1.1%,40.2%,79.5%,20.5%,9.4%,11.1%
19130,Cauca,Cajibío,23800,10615,13185,Cambio Radical,7601,292,2114,320,1451,70,1436,36,170,224,441,78,28,128,362,11,15,425,Voto en Blanco ,347,3,74,48,0,53,25,2,142,7948,2667,840,1827,44.6%,55.4%,71.6%,3.8%,27.8%,4.2%,19.1%,0.9%,18.9%,0.5%,2.2%,2.9%,5.8%,1.0%,0.4%,1.7%,4.8%,0.1%,0.2%,5.6%,3.3%,0.9%,21.3%,13.8%,0.0%,15.3%,7.2%,0.6%,40.9%,74.9%,25.1%,7.9%,17.2%
19137,Cauca,Caldono,21470,9923,11547,Cambio Radical,5275,93,1681,228,358,629,960,70,201,106,263,55,33,97,205,31,14,251,MAIS,2092,14,1453,62,5,251,155,10,142,7367,2556,741,1815,46.2%,53.8%,53.2%,1.8%,31.9%,4.3%,6.8%,11.9%,18.2%,1.3%,3.8%,2.0%,5.0%,1.0%,0.6%,1.8%,3.9%,0.6%,0.3%,4.8%,21.1%,0.7%,69.5%,3.0%,0.2%,12.0%,7.4%,0.5%,6.8%,74.2%,25.8%,7.5%,18.3%
19142,Cauca,Caloto,18253,9772,8481,Partido Liberal,6575,231,1070,371,915,139,1404,418,745,122,619,45,18,46,170,19,9,234,MAIS,1870,2,1460,45,2,181,59,3,118,8445,1327,699,628,53.5%,46.5%,67.3%,3.5%,16.3%,5.6%,13.9%,2.1%,21.4%,6.4%,11.3%,1.9%,9.4%,0.7%,0.3%,0.7%,2.6%,0.3%,0.1%,3.6%,19.1%,0.1%,78.1%,2.4%,0.1%,9.7%,3.2%,0.2%,6.3%,86.4%,13.6%,7.2%,6.4%
19212,Cauca,Corinto,17786,8439,9347,Partido Liberal,5439,156,919,351,225,171,1148,53,539,180,606,148,13,99,485,7,8,331,MAIS,1677,2,1416,15,2,10,61,0,171,7116,1323,645,678,47.4%,52.6%,64.5%,2.9%,16.9%,6.5%,4.1%,3.1%,21.1%,1.0%,9.9%,3.3%,11.1%,2.7%,0.2%,1.8%,8.9%,0.1%,0.1%,6.1%,19.9%,0.1%,84.4%,0.9%,0.1%,0.6%,3.6%,0.0%,10.2%,84.3%,15.7%,7.6%,8.0%
19256,Cauca,El Tambo,34988,13551,21437,Cambio Radical,9871,188,2756,569,678,44,2734,86,337,334,1015,47,51,166,319,22,12,513,Voto en Blanco ,362,1,24,2,1,30,70,2,232,10233,3318,1113,2205,38.7%,61.3%,72.8%,1.9%,27.9%,5.8%,6.9%,0.4%,27.7%,0.9%,3.4%,3.4%,10.3%,0.5%,0.5%,1.7%,3.2%,0.2%,0.1%,5.2%,2.7%,0.3%,6.6%,0.6%,0.3%,8.3%,19.3%,0.6%,64.1%,75.5%,24.5%,8.2%,16.3%
19290,Cauca,Florencia,4648,2328,2320,Cambio Radical,1931,18,1032,55,74,5,485,36,14,55,74,5,7,18,10,0,6,37,Voto en Blanco ,22,0,1,0,0,4,1,0,16,1953,375,133,242,50.1%,49.9%,82.9%,0.9%,53.4%,2.8%,3.8%,0.3%,25.1%,1.9%,0.7%,2.8%,3.8%,0.3%,0.4%,0.9%,0.5%,0.0%,0.3%,1.9%,0.9%,0.0%,4.5%,0.0%,0.0%,18.2%,4.5%,0.0%,72.7%,83.9%,16.1%,5.7%,10.4%
19300,Cauca,Guachené,12717,7571,5146,Partido Liberal,5909,235,1531,139,94,12,1667,229,580,102,986,14,12,10,114,4,10,170,Voto en Blanco ,165,1,54,0,0,8,8,2,92,6074,1497,823,674,59.5%,40.5%,78.0%,4.0%,25.9%,2.4%,1.6%,0.2%,28.2%,3.9%,9.8%,1.7%,16.7%,0.2%,0.2%,0.2%,1.9%,0.1%,0.2%,2.9%,2.2%,0.6%,32.7%,0.0%,0.0%,4.8%,4.8%,1.2%,55.8%,80.2%,19.8%,10.9%,8.9%
19318,Cauca,Guapi,18997,7942,11055,Cambio Radical,6733,295,1567,861,192,53,1310,1112,38,269,693,3,21,49,152,14,3,101,Voto en Blanco ,40,0,1,0,0,0,6,1,32,6773,1169,525,644,41.8%,58.2%,84.8%,4.4%,23.3%,12.8%,2.9%,0.8%,19.5%,16.5%,0.6%,4.0%,10.3%,0.0%,0.3%,0.7%,2.3%,0.2%,0.0%,1.5%,0.5%,0.0%,2.5%,0.0%,0.0%,0.0%,15.0%,2.5%,80.0%,85.3%,14.7%,6.6%,8.1%
